#initial configuration of graphene
#created by gkurt
160 atoms #number of atoms
1 atom types
0.0 21.60 xlo xhi
0.0 19.95 ylo yhi
0.0 50.00 zlo zhi

 Masses

 1  12.0107 #CA

Atoms

113   1 0.0 13.3208 13.0951 6.0000
114   1 0.0 14.7609 13.0951 6.0000
115   1 0.0 15.4809 14.3422 6.0000
116   1 0.0 16.9210 14.3422 6.0000
117   1 0.0 17.6410 13.0951 6.0000
118   1 0.0 19.0811 13.0951 6.0000
119   1 0.0 19.8012 14.3422 6.0000
120   1 0.0 21.2413 14.3422 6.0000
121   1 0.0 0.3600 15.5894 6.0000
122   1 0.0 1.8001 15.5894 6.0000
123   1 0.0 2.5201 16.8365 6.0000
124   1 0.0 3.9602 16.8365 6.0000
125   1 0.0 4.6803 15.5894 6.0000
126   1 0.0 6.1204 15.5894 6.0000
127   1 0.0 6.8404 16.8365 6.0000
128   1 0.0 8.2805 16.8365 6.0000
129   1 0.0 9.0005 15.5894 6.0000
130   1 0.0 10.4406 15.5894 6.0000
131   1 0.0 11.1607 16.8365 6.0000
132   1 0.0 12.6007 16.8365 6.0000
133   1 0.0 13.3208 15.5894 6.0000
134   1 0.0 14.7609 15.5894 6.0000
135   1 0.0 15.4809 16.8365 6.0000
136   1 0.0 16.9210 16.8365 6.0000
137   1 0.0 17.6410 15.5894 6.0000
138   1 0.0 19.0811 15.5894 6.0000
139   1 0.0 19.8012 16.8365 6.0000
140   1 0.0 21.2413 16.8365 6.0000
141   1 0.0 0.3600 18.0837 6.0000
142   1 0.0 1.8001 18.0837 6.0000
143   1 0.0 2.5201 19.3308 6.0000
144   1 0.0 3.9602 19.3308 6.0000
145   1 0.0 4.6803 18.0837 6.0000
146   1 0.0 6.1204 18.0837 6.0000
147   1 0.0 6.8404 19.3308 6.0000
148   1 0.0 8.2805 19.3308 6.0000
149   1 0.0 9.0005 18.0837 6.0000
150   1 0.0 10.4406 18.0837 6.0000
151   1 0.0 11.1607 19.3308 6.0000
152   1 0.0 12.6007 19.3308 6.0000
153   1 0.0 13.3208 18.0837 6.0000
154   1 0.0 14.7609 18.0837 6.0000
155   1 0.0 15.4809 19.3308 6.0000
156   1 0.0 16.9210 19.3308 6.0000
157   1 0.0 17.6410 18.0837 6.0000
158   1 0.0 19.0811 18.0837 6.0000
159   1 0.0 19.8012 19.3308 6.0000
160   1 0.0 21.2413 19.3308 6.0000
